AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251003_LGI2 KD_Plate 2_D27N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,444.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,9321.000000,12517.000000,16995.000000,0.000000,1.000000,0.000000,10399.000000,10686.000000,29176.000000,0.000000,1.000000,1.000000,11836.000000,29681.000000,26377.000000,7.000000,3.000000,0.000000,10437.000000,17401.000000,20024.000000,1.000000,0.000000,6.000000
    Mean Firing Rate (Hz),1.312078,1.761965,2.392314,0.000000,0.000141,0.000000,1.463823,1.504223,4.106982,0.000000,0.000141,0.000141,1.666104,4.178069,3.712979,0.000985,0.000422,0.000000,1.469172,2.449465,2.818694,0.000141,0.000000,0.000845
    ISI Coefficient of Variation - Avg,3.657199,3.839162,4.228986, , , ,4.446838,3.783491,5.590053, , , ,4.419391,5.789128,5.367325, , , ,3.839330,3.797038,4.642924, , , 
    Number of Active Electrodes,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),1.399550,1.878979,2.551652, , , ,1.561411,1.604505,4.380631, , , ,1.776426,4.456607,3.960210, , , ,1.567117,2.612763,3.006156, , , 
Electrode Burst Metrics
    Number of Bursts,209.000000,456.000000,519.000000,0.000000,0.000000,0.000000,240.000000,440.000000,544.000000,0.000000,0.000000,0.000000,310.000000,499.000000,585.000000,0.000000,0.000000,0.000000,264.000000,420.000000,639.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,15.000000,14.000000,14.000000,0.000000,0.000000,0.000000,15.000000,14.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.501521,0.448569,0.481865, , , ,0.532340,0.348250,0.569363, , , ,0.541954,0.712926,0.546765, , , ,0.500371,0.447905,0.610649, , , 
    Burst Duration - Std (sec),0.262208,0.255037,0.304229, , , ,0.295612,0.201898,0.326434, , , ,0.245476,0.329409,0.324585, , , ,0.229767,0.334991,0.477444, , , 
    Number of Spikes per Burst - Avg,25.865256,19.937573,26.302327, , , ,30.146913,18.021064,48.122235, , , ,25.934377,50.182789,37.953054, , , ,24.601895,28.329493,24.932804, , , 
    Number of Spikes per Burst - Std,21.463219,11.768806,23.293884, , , ,28.980023,15.908984,40.820514, , , ,13.950231,29.083037,28.409843, , , ,15.412047,31.479077,20.643187, , , 
    Mean ISI within Burst - Avg (sec),0.027951,0.028710,0.027690, , , ,0.028958,0.026131,0.017719, , , ,0.030813,0.021897,0.023089, , , ,0.028575,0.026826,0.031708, , , 
    Mean ISI within Burst - Std (sec),0.005872,0.007057,0.007936, , , ,0.009405,0.008592,0.003631, , , ,0.011936,0.004426,0.007697, , , ,0.006256,0.006328,0.006832, , , 
    Median ISI within Burst - Avg (sec),0.022879,0.023680,0.023445, , , ,0.024807,0.021456,0.012284, , , ,0.027415,0.016794,0.018751, , , ,0.023471,0.023022,0.026822, , , 
    Median ISI within Burst - Std (sec),0.006916,0.007987,0.008789, , , ,0.010471,0.009874,0.003008, , , ,0.013960,0.005081,0.008057, , , ,0.006802,0.008868,0.007800, , , 
    Median/Mean ISI within Burst - Avg,0.767749,0.776476,0.787374, , , ,0.776894,0.760641,0.635434, , , ,0.811053,0.677150,0.721590, , , ,0.760552,0.787450,0.787254, , , 
    Median/Mean ISI within Burst - Std,0.092606,0.071143,0.098302, , , ,0.096865,0.097984,0.063650, , , ,0.119624,0.071380,0.087220, , , ,0.064312,0.113654,0.076924, , , 
    Inter-Burst Interval - Avg (sec),29.346631,12.211092,10.235699, , , ,23.225397,12.138104,9.802954, , , ,26.602164,12.385371,18.318419, , , ,21.571602,12.448774,14.953042, , , 
    Inter-Burst Interval - Std (sec),22.026219,5.171352,3.151345, , , ,6.465868,3.147351,1.156473, , , ,19.555995,6.595233,36.038230, , , ,6.388344,3.095001,25.697495, , , 
    Burst Frequency - Avg (Hz),0.031381,0.073359,0.083494, , , ,0.036036,0.070785,0.081682, , , ,0.046547,0.074925,0.087838, , , ,0.039640,0.063063,0.095946, , , 
    Burst Frequency - Std (Hz),0.010302,0.028334,0.024632, , , ,0.012453,0.022759,0.008988, , , ,0.030237,0.018484,0.033869, , , ,0.011093,0.022826,0.032945, , , 
    IBI Coefficient of Variation - Avg,0.621200,0.601512,0.527254, , , ,0.619839,0.470073,0.411933, , , ,0.647049,0.576730,0.555045, , , ,0.698415,0.527783,0.589858, , , 
    IBI Coefficient of Variation - Std,0.204942,0.099499,0.143882, , , ,0.269003,0.289412,0.164022, , , ,0.336501,0.155764,0.116837, , , ,0.223114,0.235747,0.201938, , , 
    Burst Percentage - Avg,62.352378,62.994426,63.973135, ,0.000000, ,64.338620,65.331943,80.257687, ,0.000000,0.000000,59.579196,82.481418,77.465111,0.000000,0.000000, ,63.019505,67.028851,69.220151,0.000000, ,0.000000
    Burst Percentage - Std,15.379231,30.025667,30.001547, , , ,17.857017,23.357822,23.023579, , , ,23.723915,21.728121,27.453045,0.000000, , ,14.565028,21.076100,28.243897, , ,0.000000
Network Burst Metrics
    Number of Network Bursts,11.000000,26.000000,30.000000,0.000000,0.000000,0.000000,12.000000,25.000000,30.000000,0.000000,0.000000,0.000000,18.000000,27.000000,29.000000,0.000000,0.000000,0.000000,12.000000,23.000000,31.000000,0.000000,0.000000,0.000000
    Network Burst Frequency,0.024775,0.058559,0.067568, , , ,0.027027,0.056306,0.067568, , , ,0.040541,0.060811,0.065315, , , ,0.027027,0.051802,0.069820, , , 
    Network Burst Duration - Avg (sec),2.744029,2.103588,2.113280, , , ,2.832633,1.924720,2.042784, , , ,2.966724,2.149680,2.130474, , , ,3.297953,2.407544,4.355006, , , 
    Network Burst Duration - Std (sec),0.631215,0.411627,0.300634, , , ,0.594211,0.306866,0.260476, , , ,1.058743,0.184573,0.189627, , , ,0.721741,0.269786,2.449949, , , 
