AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250930_LGI2 KD_Plate 2_D24N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,5259.000000,6222.000000,6195.000000,0.000000,0.000000,0.000000,4129.000000,4945.000000,9081.000000,0.000000,0.000000,0.000000,6324.000000,14651.000000,9511.000000,147.000000,86.000000,1.000000,4793.000000,9688.000000,6493.000000,1.000000,1.000000,29.000000
    Mean Firing Rate (Hz),0.741958,0.877822,0.874012,0.000000,0.000000,0.000000,0.582534,0.697658,1.281179,0.000000,0.000000,0.000000,0.892212,2.067015,1.341845,0.020739,0.012133,0.000141,0.676213,1.366817,0.916055,0.000141,0.000141,0.004091
    ISI Coefficient of Variation - Avg,2.763501,2.345303,2.806128, , , ,3.044837,2.289124,2.851192, , , ,3.087098,3.805845,3.506709,0.969942,1.075461, ,2.561736,2.703113,2.762922, , , 
    Number of Active Electrodes,14.000000,14.000000,13.000000,0.000000,0.000000,0.000000,12.000000,12.000000,15.000000,0.000000,0.000000,0.000000,13.000000,15.000000,14.000000,1.000000,1.000000,0.000000,15.000000,13.000000,15.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),0.845856,1.000645,1.070498, , , ,0.765613,0.925132,1.366591, , , ,1.092898,2.204816,1.530958,0.331828,0.194131, ,0.721294,1.676159,0.977126, , , 
Electrode Burst Metrics
    Number of Bursts,183.000000,281.000000,285.000000,0.000000,0.000000,0.000000,138.000000,207.000000,339.000000,0.000000,0.000000,0.000000,294.000000,428.000000,334.000000,0.000000,0.000000,0.000000,159.000000,329.000000,221.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,13.000000,12.000000,11.000000,0.000000,0.000000,0.000000,9.000000,9.000000,13.000000,0.000000,0.000000,0.000000,12.000000,14.000000,13.000000,0.000000,0.000000,0.000000,13.000000,12.000000,12.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.321099,0.290563,0.321194, , , ,0.388418,0.329371,0.358353, , , ,0.377863,0.563422,0.401614, , , ,0.321373,0.378445,0.366275, , , 
    Burst Duration - Std (sec),0.156456,0.126167,0.126368, , , ,0.213930,0.163188,0.179596, , , ,0.175094,0.238596,0.231625, , , ,0.177910,0.235994,0.194453, , , 
    Number of Spikes per Burst - Avg,10.645002,8.192648,10.420556, , , ,13.908235,9.681291,14.652444, , , ,11.253141,23.340302,18.396987, , , ,10.964897,15.227862,11.946517, , , 
    Number of Spikes per Burst - Std,9.547624,2.541846,4.608539, , , ,9.384717,4.922267,13.527765, , , ,4.467285,13.686609,14.203203, , , ,7.380690,14.416764,10.801449, , , 
    Mean ISI within Burst - Avg (sec),0.043427,0.041368,0.038100, , , ,0.036189,0.042838,0.035643, , , ,0.040432,0.033881,0.028243, , , ,0.036874,0.035841,0.043575, , , 
    Mean ISI within Burst - Std (sec),0.008145,0.010095,0.007556, , , ,0.008425,0.013156,0.010573, , , ,0.008563,0.008848,0.005694, , , ,0.006666,0.007526,0.014432, , , 
    Median ISI within Burst - Avg (sec),0.042032,0.038710,0.036253, , , ,0.034040,0.040177,0.032167, , , ,0.038658,0.030048,0.023636, , , ,0.033398,0.033642,0.042063, , , 
    Median ISI within Burst - Std (sec),0.008906,0.011455,0.009430, , , ,0.010478,0.012798,0.012200, , , ,0.008928,0.011549,0.006686, , , ,0.009327,0.009324,0.015892, , , 
    Median/Mean ISI within Burst - Avg,0.948092,0.910785,0.919469, , , ,0.905215,0.921616,0.864533, , , ,0.939998,0.833683,0.802880, , , ,0.878681,0.905375,0.939533, , , 
    Median/Mean ISI within Burst - Std,0.086624,0.087506,0.082177, , , ,0.079051,0.054903,0.095242, , , ,0.085914,0.107353,0.079230, , , ,0.115874,0.091435,0.112669, , , 
    Inter-Burst Interval - Avg (sec),36.029919,40.582082,21.744993, , , ,26.724775,31.541443,19.286947, , , ,17.232748,17.163901,17.862178, , , ,48.230586,18.487690,25.534540, , , 
    Inter-Burst Interval - Std (sec),27.053139,72.540687,19.413183, , , ,10.808737,34.533340,15.596693, , , ,8.440168,17.303608,16.577013, , , ,39.275268,16.698034,26.460505, , , 
    Burst Frequency - Avg (Hz),0.031776,0.052859,0.058486, , , ,0.034612,0.051919,0.058864, , , ,0.055305,0.069010,0.057996, , , ,0.027609,0.061889,0.041573, , , 
    Burst Frequency - Std (Hz),0.024338,0.052114,0.031270, , , ,0.011838,0.046768,0.036017, , , ,0.041316,0.026306,0.029016, , , ,0.023207,0.039399,0.030823, , , 
